Varianza,Rango,SMA Fine,SMA Coarse,Media del espectro,Crepitancias,Sibilancias,Normal,Sibilancias y Crepitancias,Estado
1.2624010550780113e-05,0.03183104306818565,0.16723242610773853,1.3574778503247353,1.1964801551550146e-09,0,0,1,0,0
1.5300460898835464e-05,0.03648125834827533,0.20001698651050773,4.964286932630383,1.2885552869863776e-09,0,0,1,0,0
1.7514105942009816e-05,0.03735754110031206,0.24235495125766038,3.829430944040403,1.535427527715235e-09,0,0,1,0,0
1.4082971364582164e-05,0.03511319781545687,0.20341969933320803,4.594268792333563,1.2768128862849033e-09,0,0,1,0,0
1.7313582738986035e-05,0.039424458945187965,0.20830091846522616,4.263510644921985,1.443756033699864e-09,0,0,1,0,0
1.6744564815164888e-05,0.0398511638931532,0.2058579457570303,4.491301951962467,1.431153863836532e-09,0,0,1,0,0
1.51369760552818e-05,0.034778632070572295,0.20868352425503212,4.665918306747082,1.295333646499868e-09,0,0,1,0,0
1.6344992653027774e-05,0.03777184807583287,0.21829408034240452,4.673927301493185,1.5009910821377458e-09,0,0,1,0,0
1.5852556136520997e-05,0.04078188284477863,0.2147790515907183,4.090732497011957,1.4697046329347925e-09,0,0,1,0,0
1.4995696412948542e-05,0.03701023583126591,0.20467879501625888,4.593200836377296,1.3796954522550938e-09,0,0,1,0,0
1.4122421769691702e-05,0.0338308975556684,0.23459774674670522,4.235603445265366,1.2545746857091047e-09,0,0,1,0,0
1.5501092293192057e-05,0.040050700570895575,0.19836693239738468,3.4778454112388903,1.4162942512941493e-09,0,0,1,0,0
1.9944067334207192e-06,0.01191352059040267,0.07421432106445633,1.1375447659169835,1.4699825976017711e-10,0,0,1,0,0
2.390809000185783e-06,0.017061939119470633,0.09578650357900279,2.3989821107637948,2.19792965622938e-10,0,0,1,0,0
2.1074734382954503e-06,0.016771306874786694,0.09454017780967486,2.1345545601973672,1.8231856650887868e-10,0,0,1,0,0
2.5005381731617468e-06,0.01367469164464375,0.08614403714312258,2.0462794037651513,1.772485080099944e-10,0,0,1,0,0
2.4263899800645145e-06,0.01532751306715215,0.07901320345753077,2.0503696936986606,2.1789063829863032e-10,0,0,1,0,0
2.8886017578965023e-06,0.01719617840065933,0.10663819711205044,2.531445081812786,2.6524679122414796e-10,0,0,1,0,0
2.1866887981348866e-06,0.014258384254943125,0.08701723553162373,2.018906356188169,1.9288469312551838e-10,0,0,1,0,0
2.113017709354325e-06,0.011309826216453602,0.07209648075435517,2.095228088880412,1.8860419324380116e-10,0,0,1,0,0
2.040136859544074e-06,0.01471734198060147,0.08842211928647613,2.1715336851329994,1.8240371786921336e-10,0,0,1,0,0
